username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded,ratio_ff,nb_plateformes
yassinebengamra,Yassinebengamra,Actors,1300000,1400,205,0,0,0,39,Mega,1300000,0,0.0010769222485213473,1
mastersina_official,Mastersina Official,Rap,1300000,196,10,270000,0,0,39,Mega,1570000,9,0.00015076911479298862,2
midouch_talbi,Midouch Talbi,Fashion,1100000,2100,62,130300,0,0,39,Mega,1230300,2,0.0019090891735552968,2
salemmonsieur,Salemmonsieur,Humor,738100,746,77,311900,0,0,39,Mega,1050000,4,0.0010107017874247562,2
youssef_msekni,Youssef Msekni,Sport,1200000,686,415,0,0,0,39,Mega,1200000,11,0.0005716661902781748,1
dali_benjemaa,Dali Benjemaa,Actors,1100000,861,173,0,0,0,39,Mega,1100000,0,0.0007827265611576716,1
chirinelajmi,Chirinelajmi,Singer,1000000,1500,97,290600,0,0,39,Mega,1290600,10,0.0014999985000015,2
lotfiabdelli,Lotfiabdelli,Actors,2200000,5100,55,47600,0,0,39,Mega,2247600,0,0.002318180764463289,2
onsjabeur,Onsjabeur,Sport,1300000,286,444,0,0,0,39,Mega,1300000,11,0.00021999983076936096,1
a.l.a_official,A.L.A Official,Rap,1800000,762,4,50800,0,0,39,Mega,1850800,9,0.0004233330981482788,2
sanfara7050,Sanfara7050,Rap,2200000,196,37,713500,0,0,39,Mega,2913500,9,8.909086859505973e-05,2
ammarjemal5,Ammarjemal5,Sport,556200,388,184,796,0,0,38,Macro,556996,11,0.0006975895404718798,2
onshm,Onshm,Fashion,688100,756,474,57,0,0,38,Macro,688157,2,0.0010986759211220447,2
habibaghribi,Habibaghribi,Sport,514700,2100,581,0,0,0,38,Macro,514700,11,0.004080038702081403,1
ghalia.salhi,Ghalia.Salhi,Lifestyle,553000,114,121,1,0,0,38,Macro,553001,5,0.00020614790931661967,2
rihem_ben_alaya,Rihem Ben Alaya,Actors,594000,467,144,68700,0,0,38,Macro,662700,0,0.0007861939626364265,2
sarra__cherif,Sarra  Cherif,Fashion,642800,1400,248,3100,0,0,38,Macro,645900,2,0.0021779679869819743,2
lacrazyrevolution,Lacrazyrevolution,Humor,495100,1000,205,59900,0,0,38,Macro,555000,4,0.0020197899014544507,2
ali_zitouni,Ali Zitouni,Sport,374700,501,361,264600,0,0,38,Macro,639300,11,0.001337066087360322,2
si_nacer,Si Nacer,Video Blogger,370300,1600,342,450400,0,0,38,Macro,820700,14,0.004320809287579564,2
sahri.bahri,Sahri.Bahri,Video Blogger,685700,993,212,121,0,0,38,Macro,685821,14,0.001448153057965498,2
ahmed_kafon.officiel,Ahmed Kafon.Officiel,Singer,689300,213,167,71800,0,0,38,Macro,761100,10,0.0003090086914134754,2
ahmed.riabi,Ahmed.Riabi,Video Blogger,517299,1200,177,424,0,0,38,Macro,517723,14,0.002319737096462401,2
leilabenkhalifaofficial,Leilabenkhalifaofficial,Modeling,1000000,730,716,0,0,0,38,Mega,1000000,7,0.00072999927000073,1
naoufelouertani,Naoufelouertani,TV Host,641400,1100,869,0,0,0,38,Macro,641400,12,0.0017149957670786295,1
benalouaneyohan,Benalouaneyohan,Sport,558100,379,486,111,0,0,38,Macro,558211,11,0.000679088552072116,2
medislambouglia,Medislambouglia,Sport,469300,443,295,215700,0,0,38,Macro,685000,11,0.000943957076588373,2
nasseem_ziadia,Nasseem Ziadia,Actors,768800,819,212,228500,0,0,38,Macro,997300,0,0.0010652951804172991,2
juliachaouachi,Juliachaouachi,Actors,760800,7500,463,22700,0,0,38,Macro,783500,0,0.009858031206583587,2
imen_mehrzi,Imen Mehrzi,Singer,130900,766,516,1700,0,0,37,Macro,132600,10,0.005851750559583197,2
