username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded,ratio_ff,nb_plateformes
sbyalma,Sbyalma,Fashion,40300,1600,1200,0,0,0,31,Micro,40300,2,0.0397012481079874,1
ankh_nh,Ankh Nh,Lifestyle,47100,1800,1600,0,0,0,31,Micro,47100,5,0.038215749134837905,1
litayem_zied,Litayem Zied,Actors,12900,1100,1200,0,0,0,31,Micro,12900,0,0.08526470816215798,1
tunisianyogini,Tunisianyogini,Sport,20100,3100,1100,0,0,0,31,Micro,20100,11,0.1542211830257201,1
norchene1,Norchene1,Modeling,42500,1400,795,89,0,0,31,Micro,42589,7,0.03294040140231994,2
salma_jardak,Salma Jardak,Modeling,94100,2700,904,345,0,0,31,Micro,94445,7,0.028692574999202983,2
hitunis,Hitunis,Singer,14700,2900,1700,0,0,0,31,Micro,14700,10,0.19726549214339162,1
drfaresbelhassen,Drfaresbelhassen,Doctor,46400,2500,632,7800,0,0,31,Micro,54200,1,0.05387814917781945,2
jessnarjess,Jessnarjess,Fashion,73900,4300,3900,0,0,0,31,Micro,73900,2,0.05818595147562279,1
jnaynaa,Jnaynaa,Lifestyle,83800,5200,2000,0,0,0,31,Micro,83800,5,0.06205176549205857,1
nejibbelhassen,Nejibbelhassen,Actors,69300,967,530,29400,0,0,31,Micro,98700,0,0.013953622602848444,2
sonytta,Sonytta,Food,98700,7400,2700,0,0,0,31,Micro,98700,3,0.0749739111052573,1
amin_hajri,Amin Hajri,Fashion,36200,1400,1300,0,0,0,31,Micro,36200,2,0.038672964835225546,1
afefgharbi,Afefgharbi,TV Host,412,7300,1200,105,0,0,30,Nano,517,12,17.675544794188863,2
sawsen_gmati,Sawsen Gmati,Makeup Artist,450,1900,1300,21,0,0,30,Nano,471,6,4.212860310421286,2
manelabdelkoui,Manelabdelkoui,Actors,199,282,1300,106,0,0,30,Nano,305,0,1.41,2
awesmessaoudi,Awesmessaoudi,Actors,215,1800,1900,99,0,0,30,Nano,314,0,8.333333333333334,2
cuisine_a_deux,Cuisine A Deux,Food,281,958,1200,334,0,0,30,Nano,615,3,3.397163120567376,2
mayssakasbi,Mayssakasbi,Lifestyle,187,180,2600,13,0,0,30,Nano,200,5,0.9574468085106383,2
teyssir_ksouri,Teyssir Ksouri,Food,244,4000,2700,39,0,0,30,Nano,283,3,16.3265306122449,2
cuisineolfa,Cuisineolfa,Food,208,463,1300,431,0,0,30,Nano,639,3,2.215311004784689,2
olfakaabi,Olfakaabi,Lifestyle,204,1100,1700,10,0,0,30,Nano,214,5,5.365853658536586,2
sanfara,Sanfara,Lifestyle,0,0,0,0,1800000,220000000,29,Mega,1800000,5,0.0,1
zaza_show,Zaza Show,Lifestyle,0,0,0,0,1200000,180000000,29,Mega,1200000,5,0.0,1
ferjanisassioff,Ferjanisassioff,Sport,974600,266,73,0,0,0,28,Macro,974600,11,0.00027293220507674425,1
thisizbalti,Thisizbalti,Rap,533100,3300,11,0,0,0,28,Macro,533100,9,0.00619019660439579,1
rami_jeridi_officiel_,Rami Jeridi Officiel,Sport,131000,617,284,0,0,0,27,Macro,131000,11,0.004709887710780834,1
rayenyoussefofc,Rayenyoussefofc,Singer,164400,1200,1,235,0,0,27,Macro,164635,10,0.00729922567380977,2
soniadahmani,Soniadahmani,TV Host,343100,1200,403,0,0,0,27,Macro,343100,12,0.003497512394309547,1
nour_gn,Nour Gn,Lifestyle,110200,1700,435,0,0,0,27,Macro,110200,5,0.015426357292583551,1
ymeriah,Ymeriah,Sport,166300,1,47,45,0,0,27,Macro,166345,11,6.0131929453220364e-06,2
salma.btk,Salma.Btk,Lifestyle,88200,2000,27,22300,0,0,27,Macro,110500,5,0.022675479869842745,2
tunisianofficiel,Tunisianofficiel,Singer,106500,283,28,7600,0,0,27,Macro,114100,10,0.002657252044581741,2
yasminenajar,Yasminenajar,Lifestyle,109500,1100,157,0,0,0,27,Macro,109500,5,0.010045570360088036,1
raed.fadaa.officiel,Raed.Fadaa.Officiel,Sport,415400,1600,103,0,0,0,27,Macro,415400,11,0.0038516999236881955,1
raouajemli,Raouajemli,Modeling,121100,746,140,0,0,0,27,Macro,121100,7,0.006160147315051073,1
med_ali_tounsi,Med Ali Tounsi,Humor,359200,269,412,0,0,0,27,Macro,359200,4,0.0007488843293866109,1
50mejri,50Mejri,Sport,131100,1000,320,0,0,0,27,Macro,131100,11,0.0076277068824799205,1
azerzaouali,Azerzaouali,Actors,184200,1100,315,0,0,0,27,Macro,184200,0,0.0059717373955624565,1
diwasweetness,Diwasweetness,Food,111600,692,179,0,0,0,27,Macro,111600,3,0.006200661284397093,1
areej_ay,Areej Ay,Lifestyle,143500,412,190,0,0,0,27,Macro,143500,5,0.002871060131985143,1
lina_ben_ali_officiel,Lina Ben Ali Officiel,Singer,99100,5200,52,26500,0,0,27,Macro,125600,10,0.05247172076971978,2
lamine_belkhodja,Lamine Belkhodja,Actors,108500,878,17,1100,0,0,27,Macro,109600,0,0.008092091317130718,2
joelamrikani,Joelamrikani,TV Host,340300,1900,104,0,0,0,27,Macro,340300,12,0.0055832924381650365,1
assewrbenmohamed,Assewrbenmohamed,Singer,139300,873,139,0,0,0,27,Macro,139300,10,0.006267004544116697,1
hela_melki_official,Hela Melki Official,Singer,126800,390,492,0,0,0,27,Macro,126800,10,0.0030756855229848346,1
malek.ben.saad,Malek.Ben.Saad,Humor,321800,1100,48,131000,0,0,27,Macro,452800,4,0.003418261596452466,2
amal_hachana,Amal Hachana,Lifestyle,101600,450,8,64500,0,0,27,Macro,166100,5,0.004429090264859598,2
haithemjouini_officiel,Haithemjouini Officiel,Sport,112000,981,215,0,0,0,27,Macro,112000,11,0.008758850367407435,1
achref_ouerghemmi_photographe,Achref Ouerghemmi Photographe,Photographer,243000,7400,1,2100,0,0,27,Macro,245100,8,0.030452549577985277,2
djdanjertn,Djdanjertn,Singer,19900,1300,601,0,0,0,26,Micro,19900,10,0.06532335058539772,1
dorsaf_al_shaal,Dorsaf Al Shaal,Fashion,38600,261,529,0,0,0,26,Micro,38600,2,0.006761482863138261,1
wael_ben_abdallah,Wael Ben Abdallah,Singer,66900,407,279,16400,0,0,26,Micro,83300,10,0.0060836160894455985,2
chaymadimassi,Chaymadimassi,Fashion,93000,2000,574,0,0,0,26,Micro,93000,2,0.021505145105966603,1
bayrem_kilani,Bayrem Kilani,Singer,89900,79,871,0,0,0,26,Micro,89900,10,0.0008787443966140532,1
rabebhosny,Rabebhosny,Singer,64400,783,223,1100,0,0,26,Micro,65500,10,0.012158196301299669,2
sayeh_mariem,Sayeh Mariem,Actors,22600,2000,850,0,0,0,26,Micro,22600,0,0.08849165966107694,1
salimaammar,Salimaammar,Travel,93000,2000,574,0,0,0,26,Micro,93000,13,0.021505145105966603,1
drfediamtaallah,Drfediamtaallah,Doctor,44500,2900,799,0,0,0,26,Micro,44500,1,0.06516707489719333,1
feriel.maraaoui,Feriel.Maraaoui,Fashion,93400,1400,576,0,0,0,26,Micro,93400,2,0.01498913287866297,1
anissa_daoud,Anissa Daoud,Actors,17300,2500,579,0,0,0,26,Micro,17300,0,0.1445003179006994,1
tresors_de_mimi,Tresors De Mimi,Fashion,54700,5500,1000,0,0,0,26,Micro,54700,2,0.1005466079230727,1
hiba_saidane,Hiba Saidane,Lifestyle,27900,4000,747,0,0,0,26,Micro,27900,5,0.14336403713128562,1
mayatouati,Mayatouati,Fashion,47300,4500,127,2000,0,0,26,Micro,49300,2,0.09513540939937845,2
mohamedkhammessi,Mohamedkhammessi,TV Host,41300,1400,618,0,0,0,26,Micro,41300,12,0.033897484322413504,1
mohamed_jebali_officiel,Mohamed Jebali Officiel,Singer,41300,572,797,0,0,0,26,Micro,41300,10,0.013849543594586088,1
alamarzougui7,Alamarzougui7,Sport,42800,461,127,9900,0,0,26,Micro,52700,11,0.010770776383729351,2
myriam_gmati,Myriam Gmati,Modeling,42400,2200,197,796,0,0,26,Micro,43196,7,0.0518855687365864,2
aliastasia,Aliastasia,Lifestyle,14800,105,535,0,0,0,26,Micro,14800,5,0.007094115262482265,1
marwan.ali.officiel,Marwan.Ali.Officiel,Singer,52600,267,109,892,0,0,26,Micro,53492,10,0.005075949126442463,2
mohamedfrigui,Mohamedfrigui,Modeling,71600,1400,236,14700,0,0,26,Micro,86300,7,0.01955279954190584,2
amanielswissi,Amanielswissi,Singer,225,461,1200,0,0,0,25,Nano,225,10,2.0398230088495577,1
yasbouabid,Yasbouabid,Actors,196,1900,744,25,0,0,25,Nano,221,0,9.644670050761421,2
asmabenahmedofficiel,Asmabenahmedofficiel,Singer,246,7300,937,19,0,0,25,Nano,265,10,29.554655870445345,2
hamdi_van_buuren,Hamdi Van Buuren,Photographer,231,2500,737,19,0,0,25,Nano,250,8,10.775862068965518,2
fakherbeautycenter,Fakherbeautycenter,Makeup Artist,500,1200,1800,0,0,0,25,Nano,500,6,2.395209580838323,1
dr.habboub,Dr.Habboub,Doctor,222,941,741,508,0,0,25,Nano,730,1,4.219730941704036,2
azzaslimene,Azzaslimene,Modeling,801600,0,0,0,0,0,23,Macro,801600,7,0.0,1
inesosmani,Inesosmani,Fashion,245900,1500,78,0,0,0,22,Macro,245900,2,0.0061000158600412364,1
ghaylen_chaaleli,Ghaylen Chaaleli,Sport,326300,384,31,0,0,0,22,Macro,326300,11,0.0011768275304090395,1
bassem.srarfi_officiel19,Bassem.Srarfi Officiel19,Sport,362500,443,73,0,0,0,22,Macro,362500,11,0.0012220655943018088,1
oussama__haddadi,Oussama  Haddadi,Sport,136200,728,25,0,0,0,22,Macro,136200,11,0.005345041519518946,1
saifkhaoui20,Saifkhaoui20,Sport,105700,365,91,0,0,0,22,Macro,105700,11,0.003453136677987909,1
ihebmbarki24,Ihebmbarki24,Sport,138600,406,55,0,0,0,22,Macro,138600,11,0.002929271794575797,1
moeztoumiofficial,Moeztoumiofficial,Actors,111600,1200,64,0,0,0,22,Macro,111600,0,0.01075259182265392,1
radhijaidi,Radhijaidi,Sport,176200,579,88,0,0,0,22,Macro,176200,11,0.0032860199431331266,1
amine.chermiti,Amine.Chermiti,Sport,120600,1900,30,0,0,0,22,Macro,120600,11,0.01575442989693286,1
shootme.tn,Shootme.Tn,Photographer,12900,185,321,0,0,0,21,Micro,12900,8,0.01433997364545384,1
rayen__kochbati,Rayen  Kochbati,Humor,42100,237,190,0,0,0,21,Micro,42100,4,0.005629319968646826,1
imenbourguiba_,Imenbourguiba,Food,51000,4000,443,0,0,0,21,Micro,51000,3,0.07842983470912335,1
dhaferyoussef,Dhaferyoussef,Singer,35000,229,365,0,0,0,21,Micro,35000,10,0.006542670209422588,1
intibelhassen,Intibelhassen,Actors,73900,1000,441,0,0,0,21,Micro,73900,0,0.013531616622237858,1
amamoumolka,Amamoumolka,Lifestyle,83600,504,397,0,0,0,21,Micro,83600,5,0.006028636021100226,1
sheimaoueslati,Sheimaoueslati,Modeling,32700,483,371,0,0,0,21,Micro,32700,7,0.014770190514051557,1
ines_boubakri,Ines Boubakri,Sport,36100,1100,293,0,0,0,21,Micro,36100,11,0.030470070081161187,1
mehdikallelcouture,Mehdikallelcouture,Fashion,90800,652,291,0,0,0,21,Micro,90800,2,0.00718053765927688,1
issam.tn,Issam.Tn,Lifestyle,85000,1200,252,0,0,0,21,Micro,85000,5,0.014117480970812108,1
streetfood_tunisia,Streetfood Tunisia,Food,14900,7200,278,0,0,0,21,Micro,14900,3,0.48318904771491844,1
wajdicherif,Wajdicherif,Actors,57300,905,141,0,0,0,21,Micro,57300,0,0.01579379068428125,1
sadok_yeddes,Sadok Yeddes,Sport,14700,333,292,0,0,0,21,Micro,14700,11,0.022651520304741175,1
issou5,Issou5,Sport,73400,796,316,0,0,0,21,Micro,73400,11,0.010844538902739745,1
feryel_selmi,Feryel Selmi,Lifestyle,70500,1300,156,0,0,0,21,Micro,70500,5,0.01843945475950696,1
nedra_lamloum,Nedra Lamloum,Actors,65300,1100,285,0,0,0,21,Micro,65300,0,0.01684507128527894,1
mhirsiiiiii,Mhirsiiiiii,Sport,35500,246,132,0,0,0,21,Micro,35500,11,0.006929382270921946,1
salim_chebil,Salim Chebil,Fashion,35500,1800,102,0,0,0,21,Micro,35500,2,0.05070279710430692,1
spartarami,Spartarami,Sport,52200,1100,192,0,0,0,21,Micro,52200,11,0.021072393249171473,1
ayarikhaled13,Ayarikhaled13,Sport,14900,616,207,0,0,0,21,Micro,14900,11,0.04133950741560969,1
hajrimyriam,Hajrimyriam,Lifestyle,11000,3000,115,0,0,0,21,Micro,11000,5,0.2727024815925825,1
eyasghir,Eyasghir,Fashion,217,4400,334,15,0,0,20,Nano,232,2,20.18348623853211,2
maryem.hz,Maryem.Hz,Video Blogger,267,3200,484,24,0,0,20,Nano,291,14,11.940298507462687,2
yassine_khenissi,Yassine Khenissi,Sport,187,816,508,0,0,0,20,Nano,187,11,4.340425531914893,1
abirbennani,Abirbennani,Actors,223,2000,580,0,0,0,20,Nano,223,0,8.928571428571429,1
malouchelamis,Malouchelamis,Actors,185,323,895,0,0,0,20,Nano,185,0,1.7365591397849462,1
wajihajendoubi,Wajihajendoubi,Actors,307,265,560,0,0,0,20,Nano,307,0,0.8603896103896104,1
saydouda,Saydouda,Lifestyle,295,3200,804,0,0,0,20,Nano,295,5,10.81081081081081,1
sisterss_diary,Sisterss Diary,Lifestyle,211,287,110,35,0,0,20,Nano,246,5,1.3537735849056605,2
jane.torjeman,Jane.Torjeman,Lifestyle,272,905,463,91,0,0,20,Nano,363,5,3.3150183150183152,2
miniar.rkhami,Miniar.Rkhami,Actors,218,1200,213,444,0,0,20,Nano,662,0,5.47945205479452,2
jihed_cherni,Jihed Cherni,Actors,238,1100,582,0,0,0,20,Nano,238,0,4.602510460251046,1
asmabaklouti,Asmabaklouti,Food,314,2300,465,133,0,0,20,Nano,447,3,7.301587301587301,2
chef_mounir,Chef Mounir,Lifestyle,0,0,0,0,450000,60000000,17,Macro,450000,5,0.0,1
tech_tn,Tech Tunisia,Lifestyle,0,0,0,0,120000,15000000,17,Macro,120000,5,0.0,1
aminabouchiba,Aminabouchiba,Lifestyle,11800,1100,16,0,0,0,16,Micro,11800,5,0.0932124396237607,1
arijzaafouri_official,Arijzaafouri Official,Sport,12400,553,14,0,0,0,16,Micro,12400,11,0.04459317796951859,1
atef_dkhili,Atef Dkhili,Sport,35100,9,2,0,0,0,16,Micro,35100,11,0.0002564029514828637,1
ali_macheni,Ali Macheni,Sport,45100,375,10,0,0,0,16,Micro,45100,11,0.008314671515044012,1
aymen_mahmoud_,Aymen Mahmoud,Sport,11600,232,94,0,0,0,16,Micro,11600,11,0.019998276010688733,1
bassem_chatteli,Bassem Chatteli,Sport,42600,1300,32,0,0,0,16,Micro,42600,11,0.030515715593530668,1
chaima_mahmoud,Chaima Mahmoud,Singer,47500,417,3,0,0,0,16,Micro,47500,10,0.00877876255236732,1
sandra.aouadi,Sandra.Aouadi,Lifestyle,91000,462,53,0,0,0,16,Micro,91000,5,0.005076867287172668,1
fahmi_riahi_09,Fahmi Riahi 09,Singer,40400,450,39,0,0,0,16,Micro,40400,10,0.011138338159946536,1
saadiranya,Saadiranya,Modeling,94700,272,28,0,0,0,16,Micro,94700,7,0.0028721977592633657,1
naestro_officiel,Naestro Officiel,Singer,15300,498,4,0,0,0,16,Micro,15300,10,0.03254689235997647,1
joannabensouissi,Joannabensouissi,Fashion,17400,3800,74,0,0,0,16,Micro,17400,2,0.21837825412332623,1
fakhet_amina,Fakhet Amina,Singer,75800,8,72,0,0,0,16,Micro,75800,10,0.00010553950475587393,1
lotfiboucedra,Lotfiboucedra,Lifestyle,62100,1300,97,0,0,0,16,Micro,62100,5,0.020933640360058615,1
idryss.kharroubi,Idryss.Kharroubi,Actors,14400,277,38,0,0,0,16,Micro,14400,0,0.019234775362822025,1
meskini.amine.28,Meskini.Amine.28,Sport,34200,394,14,0,0,0,16,Micro,34200,11,0.01152013099032192,1
ghadaabderrazek,Ghadaabderrazek,Lifestyle,13500,491,15,0,0,0,16,Micro,13500,5,0.03636767646840975,1
ghanem_zrelli_official,Ghanem Zrelli Official,Actors,31100,402,40,0,0,0,16,Micro,31100,0,0.012925629400983891,1
hibatelmoudi,Hibatelmoudi,Modeling,14200,1400,52,0,0,0,16,Micro,14200,7,0.09858460671783677,1
jazirimalek,Jazirimalek,Sport,48300,199,78,0,0,0,16,Micro,48300,11,0.004119997515579388,1
houda_hadhoudda_,Houda Hadhoudda,Lifestyle,21400,3200,51,0,0,0,16,Micro,21400,5,0.14952572309705153,1
badri_anice_officiel,Badri Anice Officiel,Sport,193,456,214,0,0,0,15,Nano,193,11,2.350515463917526,1
ineshicheri,Ineshicheri,Travel,194,613,294,0,0,0,15,Nano,194,13,3.1435897435897435,1
naderguirat,Naderguirat,Singer,180,3100,34,7000,0,0,15,Nano,7180,10,17.12707182320442,2
aminebensalah__,Aminebensalah,Modeling,201,914,241,0,0,0,15,Nano,201,7,4.524752475247524,1
wahbi_khazri_8,Wahbi Khazri 8,Sport,195,336,332,0,0,0,15,Nano,195,11,1.7142857142857142,1
mehdi_r2m_officiel,Mehdi R2M Officiel,Singer,172,781,320,0,0,0,15,Nano,172,10,4.514450867052023,1
mathlouthi_hamza_,Mathlouthi Hamza,Sport,291,511,146,0,0,0,15,Nano,291,11,1.75,1
bejiiheb,Bejiiheb,Lifestyle,1400,285,328,0,0,0,15,Nano,1400,5,0.20342612419700215,1
sanayoussefofficial,Sanayoussefofficial,Actors,192,4000,402,0,0,0,15,Nano,192,0,20.72538860103627,1
fatmabouchiba,Fatmabouchiba,Fashion,6900,150,131,0,0,0,15,Nano,6900,2,0.0217359802927112,1
realraniatoumi,Realraniatoumi,TV Host,5700,1300,118,0,0,0,15,Nano,5700,12,0.2280301701455885,1
hamdiharbaoui9,Hamdiharbaoui9,Sport,214,61,434,0,0,0,15,Nano,214,11,0.2837209302325581,1
samarmatoussi,Samarmatoussi,Modeling,211,2400,168,0,0,0,15,Nano,211,7,11.320754716981131,1
ben_youssef_officiel,Ben Youssef Officiel,Sport,215,618,369,0,0,0,15,Nano,215,11,2.861111111111111,1
montassartalbi,Montassartalbi,Sport,268,589,98,0,0,0,10,Nano,268,11,2.1895910780669143,1
sarah_hannachi,Sarah Hannachi,Actors,220,182,40,0,0,0,10,Nano,220,0,0.8235294117647058,1
saadofficielbguir,Saadofficielbguir,Sport,226,84,36,0,0,0,10,Nano,226,11,0.3700440528634361,1
houcinerabii,Houcinerabii,Sport,5500,119,71,0,0,0,10,Nano,5500,11,0.021632430467187783,1
