username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded
chouchoutas,Chouchoutas,Lifestyle,66800,7400,1200,308,0,0,36,Micro,67108,6
narjessrkaiek,Narjessrkaiek,Lifestyle,70600,7500,1100,1100,0,0,36,Micro,71700,6
soumow,Soumow,Lifestyle,62600,453,2000,219,0,0,36,Micro,62819,6
yousr.fg,Yousr.Fg,Lifestyle,1500000,518,68,0,0,0,34,Mega,1500000,6
souhir_ben_amara,Souhir Ben Amara,Actors,728600,932,349,0,0,0,33,Macro,728600,0
rym_ben_messaoud,Rym Ben Messaoud,Actors,802600,2800,312,0,0,0,33,Macro,802600,0
asmafehri_officiel,Asmafehri Officiel,Lifestyle,919200,2400,281,0,0,0,33,Macro,919200,6
lina_khouili,Lina Khouili,Lifestyle,555500,1100,171,0,0,0,33,Macro,555500,6
abir_azl,Abir Azl,Lifestyle,171700,996,795,0,0,0,32,Macro,171700,6
eyadaghnoujofficial,Eyadaghnoujofficial,Singer,57100,674,159,152900,0,0,32,Macro,210000,11
elgeneralofficial,Elgeneralofficial,Singer,139800,166,353,6,0,0,32,Macro,139806,11
jebaliaziz,Jebaliaziz,Actors,419900,409,492,2,0,0,32,Macro,419902,0
bilelmissaoui,Bilelmissaoui,TV Host,293400,1100,804,0,0,0,32,Macro,293400,13
nour_guiga,Nour Guiga,Modeling,124800,1200,813,0,0,0,32,Macro,124800,8
nada_mezni_hafaiedh,Nada Mezni Hafaiedh,Lifestyle,227300,994,135,805,0,0,32,Macro,228105,6
wajdi.lakhal,Wajdi.Lakhal,Singer,98700,1000,232,3100,0,0,32,Macro,101800,11
kalthoumhandous,Kalthoumhandous,TV Host,224200,51,915,0,0,0,32,Macro,224200,13
yasmeenayari_,Yasmeenayari,Lifestyle,298900,1100,194,116500,0,0,32,Macro,415400,6
emna_marouani,Emna Marouani,Modeling,70100,734,162,93900,0,0,32,Macro,164000,8
aziz__bey,Aziz  Bey,Actors,205900,315,424,1,0,0,32,Macro,205901,0
slimhal,Slimhal,Doctor,132000,2300,299,85,0,0,32,Macro,132085,1
molka_g,Molka G,Makeup Artist,138300,1200,690,0,0,0,32,Macro,138300,7
chebbialaaofficiel,Chebbialaaofficiel,TV Host,443500,1700,223,14,0,0,32,Macro,443514,13
hanayaich,Hanayaich,Food,272600,3200,465,1000,0,0,32,Macro,273600,3
